✅ Wandb initialized successfully!
📊 Project: SmolSigLip
🏃 Run: siglip_lr0.0004_bs128_epochs70000
🆔 Run ID: nyuui2ku
🌐 Dashboard: https://wandb.ai/rentio/SmolSigLip/runs/nyuui2ku
🔧 Setting up custom metrics...
✅ All metrics defined successfully!
Model logged to wandb - Total params: 213,398,786, Trainable: 213,398,786
🔍 Device check before compilation:
   - Main model device: cuda:3
   - Vision model device: cuda:3
   - Text model device: cuda:3
🔧 Compiling model with torch.compile...
✅ Model compilation successful!
🎯 Epoch 1/70000:   0%|[35m                                                                                                                             [0m| 0/70000 [00:00<?, ?epoch/s][0mW0601 22:33:26.090000 4123420 site-packages/torch/_dynamo/convert_frame.py:964] [24/8] torch._dynamo hit config.recompile_limit (8)

=== EPOCH 1/70000 ===
W0601 22:33:26.090000 4123420 site-packages/torch/_dynamo/convert_frame.py:964] [24/8]    function: 'torch_dynamo_resume_in_valid_images_at_150' (/speech/advait/miniconda3/envs/trainBigLlama/lib/python3.10/site-packages/transformers/image_utils.py:150)
W0601 22:33:26.090000 4123420 site-packages/torch/_dynamo/convert_frame.py:964] [24/8]    last reason: 24/7: ___tuple_iterator_len(___stack0) == 120
W0601 22:33:26.090000 4123420 site-packages/torch/_dynamo/convert_frame.py:964] [24/8] To log all recompilation reasons, use TORCH_LOGS="recompiles".
W0601 22:33:26.090000 4123420 site-packages/torch/_dynamo/convert_frame.py:964] [24/8] To diagnose recompilation issues, see https://pytorch.org/docs/main/torch.compiler_troubleshooting.html.
micro step: 0/128 | loss: 0.078211
micro step: 10/128 | loss: 0.078187
micro step: 20/128 | loss: 0.078156
micro step: 30/128 | loss: 0.078167
micro step: 40/128 | loss: 0.078184
micro step: 50/128 | loss: 0.078175
micro step: 60/128 | loss: 0.078170
micro step: 70/128 | loss: 0.078160
micro step: 80/128 | loss: 0.078208
micro step: 90/128 | loss: 0.078165
micro step: 100/128 | loss: 0.078188
micro step: 110/128 | loss: 0.078198
micro step: 120/128 | loss: 0.078155

🚀 Epoch 01 Training:   5%|[32m███▍                                                                      [0m| 3/64 [25:49<9:04:14, 535.32s/it, Loss=7.5038, LR=1.00e-04, BS=128, Step=3][0m
micro step: 0/128 | loss: 0.067606
micro step: 10/128 | loss: 0.067592
micro step: 20/128 | loss: 0.067601
micro step: 30/128 | loss: 0.067625
micro step: 40/128 | loss: 0.067617
micro step: 50/128 | loss: 0.067684
micro step: 60/128 | loss: 0.067606
micro step: 70/128 | loss: 0.067586
micro step: 80/128 | loss: 0.067601
micro step: 90/128 | loss: 0.067606
micro step: 100/128 | loss: 0.067604
micro step: 110/128 | loss: 0.067622
micro step: 120/128 | loss: 0.067632
micro step: 0/128 | loss: 0.058654
micro step: 10/128 | loss: 0.058701
micro step: 20/128 | loss: 0.058621
micro step: 30/128 | loss: 0.058580
micro step: 40/128 | loss: 0.058642
micro step: 50/128 | loss: 0.058627
micro step: 60/128 | loss: 0.058622
micro step: 70/128 | loss: 0.058665
micro step: 80/128 | loss: 0.058636
micro step: 90/128 | loss: 0.058625
micro step: 100/128 | loss: 0.058594
micro step: 110/128 | loss: 0.058632
micro step: 120/128 | loss: 0.058607
micro step: 0/128 | loss: 0.054580
micro step: 10/128 | loss: 0.054631
micro step: 20/128 | loss: 0.054605
micro step: 30/128 | loss: 0.054580
micro step: 40/128 | loss: 0.054587
micro step: 50/128 | loss: 0.054547
micro step: 60/128 | loss: 0.054629
micro step: 70/128 | loss: 0.054579
micro step: 80/128 | loss: 0.054640
micro step: 90/128 | loss: 0.054575
micro step: 100/128 | loss: 0.054605
micro step: 110/128 | loss: 0.054604
micro step: 120/128 | loss: 0.054548
micro step: 0/128 | loss: 0.051154
micro step: 10/128 | loss: 0.051145
micro step: 20/128 | loss: 0.051095
micro step: 30/128 | loss: 0.051156
micro step: 40/128 | loss: 0.051155
micro step: 50/128 | loss: 0.051139
micro step: 60/128 | loss: 0.051112
micro step: 70/128 | loss: 0.051105
micro step: 80/128 | loss: 0.051170
micro step: 90/128 | loss: 0.051169
micro step: 100/128 | loss: 0.051174
micro step: 110/128 | loss: 0.051157
micro step: 120/128 | loss: 0.051246
micro step: 0/128 | loss: 0.048660
micro step: 10/128 | loss: 0.048632
micro step: 20/128 | loss: 0.048667
micro step: 30/128 | loss: 0.048628
micro step: 40/128 | loss: 0.048624
micro step: 50/128 | loss: 0.048578
micro step: 60/128 | loss: 0.048640
micro step: 70/128 | loss: 0.048633
micro step: 80/128 | loss: 0.048619
micro step: 90/128 | loss: 0.048650
micro step: 100/128 | loss: 0.048603
micro step: 110/128 | loss: 0.048612
micro step: 120/128 | loss: 0.048578

🚀 Epoch 01 Training:  12%|[32m█████████                                                               [0m| 8/64 [1:14:58<8:49:24, 567.22s/it, Loss=5.9143, LR=1.01e-04, BS=128, Step=8][0m
micro step: 0/128 | loss: 0.045990
micro step: 10/128 | loss: 0.046001
micro step: 20/128 | loss: 0.046000
micro step: 30/128 | loss: 0.046007
micro step: 40/128 | loss: 0.045971
micro step: 50/128 | loss: 0.046006
micro step: 60/128 | loss: 0.046035
micro step: 70/128 | loss: 0.045982
micro step: 80/128 | loss: 0.046047
micro step: 90/128 | loss: 0.045985
micro step: 100/128 | loss: 0.046008
micro step: 110/128 | loss: 0.045990
micro step: 120/128 | loss: 0.045980
micro step: 0/128 | loss: 0.046181
micro step: 10/128 | loss: 0.046205
micro step: 20/128 | loss: 0.046200
micro step: 30/128 | loss: 0.046194
micro step: 40/128 | loss: 0.046199
micro step: 50/128 | loss: 0.046208
micro step: 60/128 | loss: 0.046182
micro step: 70/128 | loss: 0.046201
micro step: 80/128 | loss: 0.046206
micro step: 90/128 | loss: 0.046216
micro step: 100/128 | loss: 0.046273
micro step: 110/128 | loss: 0.046221
micro step: 120/128 | loss: 0.046215
micro step: 0/128 | loss: 0.045966
micro step: 10/128 | loss: 0.045958
micro step: 20/128 | loss: 0.045977
micro step: 30/128 | loss: 0.045951
micro step: 40/128 | loss: 0.045969
micro step: 50/128 | loss: 0.045955
micro step: 60/128 | loss: 0.045960
micro step: 70/128 | loss: 0.045956
micro step: 80/128 | loss: 0.045963
micro step: 90/128 | loss: 0.045948
micro step: 100/128 | loss: 0.046031
micro step: 110/128 | loss: 0.046017
micro step: 120/128 | loss: 0.045983
micro step: 0/128 | loss: 0.045786
micro step: 10/128 | loss: 0.045785
micro step: 20/128 | loss: 0.045824
micro step: 30/128 | loss: 0.045790
micro step: 40/128 | loss: 0.045789
